HCPCS/Modifier Code	Type of Change
C9604	No change
C9605	No change
C9606	No change
C9607	No change
C9608	No change
C9724	Discontinued
C9725	No change
C9726	No change
C9727	No change
C9728	No change
C9732	No change
C9733	No change
C9734	No change
C9735	No change
C9736	No change
C9737	Discontinued
C9739	No change
C9740	No change
C9741	No change
C9742	No change
C9743	Add
C9800	No change
C9898	No change
C9899	No change
CA	No change
CB	No change
CC	No change
CD	No change
CE	No change
CF	No change
CG	No change
CH	No change
CI	No change
CJ	No change
CK	No change
CL	No change
CM	No change
CN	No change
CP	Add
CR	No change
CS	No change
CT	Add
E0100	No change
E0105	No change
E0110	No change
E0111	No change
E0112	No change
E0113	No change
E0114	No change
E0116	No change
E0117	No change
E0118	No change
E0130	No change
E0135	No change
E0140	No change
E0141	No change
E0143	No change
E0144	No change
E0147	No change
E0148	No change
E0149	No change
E0153	No change
E0154	No change
E0155	No change
E0156	No change
E0157	No change
E0158	No change
E0159	No change
E0160	No change
E0161	No change
E0162	No change
E0163	No change
E0165	No change
E0167	No change
E0168	No change
E0170	No change
E0171	No change
E0172	No change
E0175	No change
E0181	No change
E0182	No change
E0184	No change
E0185	No change
E0186	No change
E0187	No change
E0188	No change
E0189	No change
E0190	No change
E0191	No change
E0193	No change
E0194	No change
E0196	No change
E0197	No change
E0198	No change
E0199	No change
E0200	No change
E0202	No change
E0203	No change
E0205	No change
E0210	No change
E0215	No change
E0217	No change
E0218	No change
E0221	No change
E0225	No change
E0231	No change
E0232	No change
E0235	No change
E0236	No change
E0239	No change
E0240	No change
E0241	No change
E0242	No change
E0243	No change
E0244	No change
E0245	No change
E0246	No change
E0247	No change
E0248	No change
E0249	No change
E0250	No change
E0251	No change
E0255	No change
E0256	No change
E0260	No change
E0261	No change
E0265	No change
E0266	No change
E0270	No change
E0271	No change
E0272	No change
E0273	No change
E0274	No change
E0275	No change
E0276	No change
E0277	No change
E0280	No change
E0290	No change
E0291	No change
E0292	No change
E0293	No change
E0294	No change
E0295	No change
E0296	No change
E0297	No change
E0300	No change
E0301	No change
E0302	No change
E0303	No change
E0304	No change
E0305	No change
E0310	No change
E0315	No change
E0316	No change
E0325	No change
E0326	No change
E0328	No change
E0329	No change
E0350	No change
E0352	No change
E0370	No change
E0371	No change
E0372	No change
E0373	No change
E0424	No change
E0425	No change
E0430	No change
E0431	No change
E0433	No change
E0434	No change
E0435	No change
E0439	No change
E0440	No change
E0441	No change
E0442	No change
E0443	No change
E0444	No change
E0445	No change
E0446	No change
E0450	Discontinued
E0455	No change
E0457	No change
E0459	No change
E0460	Discontinued
E0461	Discontinued
E0462	No change
E0463	Discontinued
E0464	Discontinued
E0465	Add
E0466	Add
E0470	No change
E0471	No change
E0472	No change
E0480	No change
E0481	No change
E0482	No change
E0483	No change
E0484	No change
E0485	No change
E0486	No change
E0487	No change
E0500	No change
E0550	No change
E0555	No change
E0560	No change
E0561	No change
E0562	No change
E0565	No change
E0570	No change
E0572	No change
E0574	No change
E0575	No change
E0580	No change
E0585	No change
E0600	No change
E0601	No change
E0602	No change
E0603	No change
E0604	No change
E0605	No change
E0606	No change
E0607	No change
E0610	No change
E0615	No change
E0616	No change
E0617	No change
E0618	No change
E0619	No change
E0620	No change
E0621	No change
E0625	No change
E0627	No change
E0628	No change
E0629	No change
E0630	No change
E0635	No change
E0636	No change
E0637	No change
E0638	No change
E0639	No change
E0640	No change
E0641	No change
E0642	No change
E0650	No change
E0651	No change
E0652	No change
E0655	No change
E0656	No change
E0657	No change
E0660	No change
E0665	No change
E0666	No change
E0667	No change
E0668	No change
E0669	No change
E0670	No change
E0671	No change
E0672	No change
E0673	No change
E0675	No change
E0676	No change
E0691	No change
E0692	No change
E0693	No change
E0694	No change
E0700	No change
E0705	No change
E0710	No change
E0720	No change
E0730	No change
E0731	No change
E0740	No change
E0744	No change
E0745	No change
E0746	No change
E0747	No change
E0748	No change
E0749	No change
E0755	No change
E0760	No change
E0761	No change
E0762	No change
E0764	No change
E0765	No change
E0766	No change
E0769	No change
E0770	No change
E0776	No change
E0779	No change
E0780	No change
E0781	No change
E0782	No change
E0783	No change
E0784	No change
E0785	No change
E0786	No change
E0791	No change
E0830	No change
E0840	No change
E0849	No change
E0850	No change
E0855	No change
E0856	No change
E0860	No change
E0870	No change
E0880	No change
E0890	No change
E0900	No change
E0910	No change
E0911	No change
E0912	No change
E0920	No change
E0930	No change
E0935	No change
E0936	No change
E0940	No change
E0941	No change
E0942	No change
E0944	No change
E0945	No change
E0946	No change
E0947	No change
E0948	No change
E0950	No change
E0951	No change
E0952	No change
E0955	No change
E0956	No change
E0957	No change
E0958	No change
E0959	No change
E0960	No change
E0961	No change
E0966	No change
E0967	No change
E0968	No change
E0969	No change
E0970	No change
E0971	No change
E0973	No change
E0974	No change
E0978	No change
E0980	No change
E0981	No change
E0982	No change
E0983	No change
E0984	No change
E0985	No change
E0986	No change
E0988	No change
E0990	No change
E0992	No change
E0994	No change
E0995	No change
E1	No change
E1002	No change
E1003	No change
E1004	No change
E1005	No change
E1006	No change
E1007	No change
E1008	No change
E1009	No change
E1010	No change
E1011	No change
E1012	Add
E1014	No change
E1015	No change
E1016	No change
E1017	No change
E1018	No change
E1020	No change
E1028	No change
E1029	No change
E1030	No change
E1031	No change
E1035	No change
E1036	No change
E1037	No change
E1038	No change
E1039	No change
E1050	No change
E1060	No change
E1070	No change
E1083	No change
E1084	No change
E1085	No change
E1086	No change
E1087	No change
E1088	No change
E1089	No change
E1090	No change
E1092	No change
E1093	No change
E1100	No change
E1110	No change
E1130	No change
E1140	No change
E1150	No change
E1160	No change
E1161	No change
E1170	No change
E1171	No change
E1172	No change
E1180	No change
E1190	No change
E1195	No change
E1200	No change
E1220	No change
E1221	No change
E1222	No change
E1223	No change
E1224	No change
E1225	No change
E1226	No change
E1227	No change
E1228	No change
E1229	No change
E1230	No change
E1231	No change
E1232	No change
E1233	No change
E1234	No change
E1235	No change
E1236	No change
E1237	No change
E1238	No change
E1239	No change
E1240	No change
E1250	No change
E1260	No change
E1270	No change
E1280	No change
E1285	No change
E1290	No change
E1295	No change
E1296	No change
E1297	No change
E1298	No change
E1300	No change
E1310	No change
E1352	No change
E1353	No change
E1354	No change
E1355	No change
E1356	No change
E1357	No change
E1358	No change
E1372	No change
E1390	No change
E1391	No change
E1392	No change
E1399	No change
E1405	No change
E1406	No change
E1500	No change
E1510	No change
E1520	No change
E1530	No change
E1540	No change
E1550	No change
E1560	No change
E1570	No change
E1575	No change
E1580	No change
E1590	No change
E1592	No change
E1594	No change
E1600	No change
E1610	No change
E1615	No change
E1620	No change
E1625	No change
E1630	No change
E1632	No change
E1634	No change
E1635	No change
E1636	No change
E1637	No change
E1639	No change
E1699	No change
E1700	No change
E1701	No change
E1702	No change
E1800	No change
E1801	No change
E1802	No change
E1805	No change
E1806	No change
E1810	No change
E1811	No change
E1812	No change
E1815	No change
E1816	No change
E1818	No change
E1820	No change
E1821	No change
E1825	No change
E1830	No change
E1831	No change
E1840	No change
E1841	No change
E1902	No change
E2	No change
E2000	No change
E2100	No change
E2101	No change
E2120	No change
E2201	No change
E2202	No change
E2203	No change
E2204	No change
E2205	No change
E2206	No change
E2207	No change
E2208	No change
E2209	No change
E2210	No change
E2211	No change
E2212	No change
E2213	No change
E2214	No change
E2215	No change
E2216	No change
E2217	No change
E2218	No change
E2219	No change
E2220	No change
E2221	No change
E2222	No change
E2224	No change
E2225	No change
E2226	No change
E2227	No change
E2228	No change
E2230	No change
E2231	No change
E2291	No change
E2292	No change
E2293	No change
E2294	No change
E2295	No change
E2300	No change
E2301	No change
E2310	No change
E2311	No change
E2312	No change
E2313	No change
E2321	No change
E2322	No change
E2323	No change
E2324	No change
E2325	No change
E2326	No change
E2327	No change
E2328	No change
E2329	No change
E2330	No change
E2331	No change
E2340	No change
E2341	No change
E2342	No change
E2343	No change
E2351	No change
E2358	No change
E2359	No change
E2360	No change
E2361	No change
E2362	No change
E2363	No change
E2364	No change
E2365	No change
E2366	No change
E2367	No change
E2368	No change
E2369	No change
E2370	No change
E2371	No change
E2372	No change
E2373	No change
E2374	No change
E2375	No change
E2376	No change
E2377	No change
E2378	No change
E2381	No change
E2382	No change
E2383	No change
E2384	No change
E2385	No change
E2386	No change
E2387	No change
E2388	No change
E2389	No change
E2390	No change
E2391	No change
E2392	No change
E2394	No change
E2395	No change
E2396	No change
E2397	No change
E2402	No change
E2500	No change
E2502	No change
E2504	No change
E2506	No change
E2508	No change
E2510	No change
E2511	No change
E2512	No change
E2599	No change
E2601	No change
E2602	No change
E2603	No change
E2604	No change
E2605	No change
E2606	No change
E2607	No change
E2608	No change
E2609	No change
E2610	No change
E2611	No change
E2612	No change
E2613	No change
E2614	No change
E2615	No change
E2616	No change
E2617	No change
E2619	No change
E2620	No change
E2621	No change
E2622	No change
E2623	No change
E2624	No change
E2625	No change
E2626	No change
E2627	No change
E2628	No change
E2629	No change
E2630	No change
E2631	No change
E2632	No change
E2633	No change
E3	No change
E4	No change
E8000	No change
E8001	No change
E8002	No change
EA	No change
EB	No change
EC	No change
ED	No change
EE	No change
EJ	No change
EM	No change
EP	No change
ET	No change
EX	Add
EY	No change
F1	No change
F2	No change
F3	No change
F4	No change
F5	No change
F6	No change
F7	No change
F8	No change
F9	No change
FA	No change
FB	No change
FC	No change
FP	No change
G0008	No change
G0009	No change
G0010	No change
G0027	No change
G0101	No change
G0102	No change
G0103	No change
G0104	No change
G0105	No change
G0106	No change
G0108	No change
G0109	No change
G0117	No change
G0118	No change
G0120	No change
G0121	No change
G0122	No change
G0123	No change
G0124	No change
G0127	No change
G0128	No change
G0129	No change
G0130	No change
G0141	No change
G0143	No change
G0144	No change
G0145	No change
G0147	No change
G0148	No change
G0151	No change
G0152	No change
G0153	No change
G0154	Discontinued
G0155	No change
G0156	No change
G0157	No change
G0158	No change
G0159	No change
G0160	No change
G0161	No change
G0162	No change
G0163	No change
G0164	No change
G0166	No change
G0168	No change
G0173	No change
G0175	No change
G0176	No change
G0177	No change
G0179	No change
G0180	No change
G0181	No change
G0182	No change
G0186	No change
G0202	No change
G0204	No change
G0206	No change
G0219	No change
G0235	No change
G0237	No change
G0238	No change
G0239	No change
G0245	No change
G0246	No change
G0247	No change
G0248	No change
G0249	No change
G0250	No change
G0251	No change
G0252	No change
G0255	No change
G0257	No change
G0259	No change
G0260	No change
G0268	No change
G0269	No change
G0270	No change
G0271	No change
G0275	No change
G0276	No change
G0277	No change
G0278	No change
G0279	No change
G0281	No change
G0282	No change
G0283	No change
G0288	No change
G0289	No change
G0290	No change
G0291	No change
G0293	No change
G0294	No change
G0295	No change
G0296	Add
G0297	Add
G0298	Add
G0299	Add
G0300	Add
G0302	No change
G0303	No change
G0304	No change
G0305	No change
G0306	No change
G0307	No change
G0328	No change
G0329	No change
G0333	No change
G0337	No change
G0339	No change
G0340	No change
G0341	No change
G0342	No change
G0343	No change
G0364	No change
G0365	No change
G0372	No change
G0378	No change
G0379	No change
G0380	No change
G0381	No change
G0382	No change
G0383	No change
G0384	No change
G0389	No change
G0390	No change
G0396	No change
G0397	No change
G0398	No change
G0399	No change
G0400	No change
G0402	No change
G0403	No change
G0404	No change
G0405	No change
G0406	No change
G0407	No change
G0408	No change
G0409	No change
G0410	No change
G0411	No change
G0412	No change
G0413	No change
G0414	No change
G0415	No change
G0416	No change
G0417	No change
G0418	No change
G0419	No change
G0420	No change
G0421	No change
G0422	No change
G0423	No change
G0424	No change
G0425	No change
G0426	No change
G0427	No change
G0428	No change
G0429	No change
G0431	Discontinued
G0432	No change
G0433	No change
G0434	Discontinued
G0435	No change
G0436	No change
G0437	No change
G0438	No change
G0439	No change
G0442	No change
G0443	No change
G0444	No change
G0445	No change
G0446	No change
G0447	No change
G0448	No change
G0451	No change
G0452	No change
G0453	No change
G0454	No change
G0455	No change
G0456	No change
G0457	No change
G0458	No change
G0459	No change
G0460	No change
G0461	No change
G0462	No change
G0463	No change
G0464	No change
G0466	No change
G0467	No change
G0468	No change
G0469	No change
G0470	No change
G0471	No change
G0472	No change
G0473	No change
G0475	Add
G0476	Add
G0908	No change
G0909	No change
G0910	No change
G0911	No change
G0912	No change
G0913	No change
G0914	No change
G0915	No change
G0916	No change
G0917	No change
G0918	No change
G0919	No change
G0920	No change
G0921	No change
G0922	No change
G1	No change
G2	No change
G3	No change
G3001	No change
G4	No change
G5	No change
G6	No change
G6001	No change
G6002	No change
G6003	No change
G6004	No change
G6005	No change
G6006	No change
G6007	No change
G6008	No change
G6009	No change
G6010	No change
G6011	No change
G6012	No change
G6013	No change
G6014	No change
G6015	No change
G6016	No change
G6017	No change
G6018	Discontinued
G6019	Discontinued
G6020	Discontinued
G6021	Discontinued
G6022	Discontinued
G6023	Discontinued
G6024	Discontinued
G6025	Discontinued
G6027	Discontinued
G6028	Discontinued
G6030	No change
G6031	No change
G6032	No change
G6034	No change
G6035	No change
G6036	No change
G6037	No change
G6038	No change
G6039	No change
G6040	No change
G6041	No change
G6042	No change
G6043	No change
G6044	No change
G6045	No change
G6046	No change
G6047	No change
G6048	No change
G6049	No change
G6050	No change
G6051	No change
G6052	No change
G6053	No change
G6054	No change
G6055	No change
G6056	No change
G6057	No change
G6058	No change
G7	No change
G8	No change
G8126	No change
G8127	No change
G8128	No change
G8395	No change
G8396	No change
G8397	No change
G8398	No change
G8399	Change in Long Description
G8400	Change in Long Description
G8401	Change in Long Description
G8404	No change
G8405	No change
G8406	No change
G8410	No change
G8415	No change
G8416	No change
G8417	No change
G8418	No change
G8419	No change
G8420	No change
G8421	No change
G8422	No change
G8427	No change
G8428	No change
G8430	No change
G8431	No change
G8432	No change
G8433	No change
G8442	No change
G8447	No change
G8448	No change
G8450	No change
G8451	No change
G8452	No change
